2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-forum.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-forum.jpg
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-gabarito.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-gabarito.jpg
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-horario-fim.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-horario-fim.jpg
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-horario.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-horario.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-horario.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-horario.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-importa-estudantes.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-importa-estudantes.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-inclui-arquivo.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-inclui-arquivo.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-inclui-horario.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-inclui-horario.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-inclui-noticias.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-inclui-noticias.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-inclui-vestiba.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-inclui-vestiba.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-intensivo.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-intensivo.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-leitura.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-leitura.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-leitura.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-leitura.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-mail.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-mail.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-mail.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-mail.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-noticias.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-noticias.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-noticias.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-noticias.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-obras.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-obras.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-obras.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-obras.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-res.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-res.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-resolucoes.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-resolucoes.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-revisaoudesc2.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-revisaoudesc2.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-revisaoufsc.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-revisaoufsc.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-semi.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-semi.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-semi.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-semi.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-semi1.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-semi1.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-semi2.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-semi2.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-semi3.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-semi3.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-vestiba.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-vestiba.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-vestiba.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-vestiba.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\leitura.gif --> ftp975.locaweb.com.br /public_html/area/img/icones leitura.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\logo-horario.gif --> ftp975.locaweb.com.br /public_html/area/img/icones logo-horario.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\logo-mail.gif --> ftp975.locaweb.com.br /public_html/area/img/icones logo-mail.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\logo-pdf.gif --> ftp975.locaweb.com.br /public_html/area/img/icones logo-pdf.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\obras.gif --> ftp975.locaweb.com.br /public_html/area/img/icones obras.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\provas1.gif --> ftp975.locaweb.com.br /public_html/area/img/icones provas1.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\resolucao.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones resolucao.jpg
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\resolucao3.gif --> ftp975.locaweb.com.br /public_html/area/img/icones resolucao3.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\simulado.gif --> ftp975.locaweb.com.br /public_html/area/img/icones simulado.gif
2008.04.12 17:15 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\Thumbs.db --> ftp975.locaweb.com.br /public_html/area/img/icones Thumbs.db
